"","PMID","Title","Abstract"
"11","25435080","Involvement of the strychnine-sensitive glycine receptor in the anxiolytic effects of GlyT1 inhibitors on maternal separation-induced ultrasonic vocalization in rat pups.","Several studies have shown that glycine transporter 1 (GlyT1) inhibitors have anxiolytic actions. There are two types of glycine receptor: the strychnine-sensitive glycine receptor (GlyA) and the strychnine-insensitive glycine receptor (GlyB); however  which receptor is the main contributor to the anxiolytic actions of GlyT1 inhibitors is yet to be determined. Here  we clarified which glycine receptor is the main contributor to the anxiolytic effects of GlyT1 inhibitors by using maternal separation-induced ultrasonic vocalization (USV) by rat pups as an index of anxiety. We confirmed that administration of the benzodiazepine diazepam or the selective serotonin reuptake inhibitor escitaloplam  which are both clinically proven anxiolytics  or the GlyT1 inhibitor SSR504734 (2-chloro-N-[(S)-phenyl[(2S)-piperidin-2-yl] methyl]-3-trifluoromethyl benzamide)  decreases USV in rat pups. In addition  we showed that another GlyT1 inhibitor  ALX5407 ((R)-N-[3-(4'-fluorophenyl)-3(4'-phenylphenoxy)propyl]sarcosine) also decreases USV in rat pups. SSR504734- or ALX5407-induced decreases in USV were dose-dependently reversed by administration of the GlyA antagonist strychnine  whereas the diazepam- or escitalopram-induced decreases in USV were not. Furthermore  GlyT1-induced decreases in USV were not reversed by administration of the GlyB antagonist L-687 414. Together  these results suggest that GlyA activation is the main contributor to the anxiolytic actions of GlyT1 inhibitors and that the anxiolytic actions of diazepam and escitalopram cannot be attributed to GlyA activation. Our findings provide new insights into the importance of the activation of GlyA in the anxiolytic effects of GlyT1 inhibitors."
"12","24997296","Interaction of injectable neurotropic drugs with the red cell membrane.","The normal red blood cell (RBC) shape is a biconcave discocyte. An intercalation of a drug in the outer half of the membrane lipid bilayer leads to echinocytosis  an intercalation in the inner half to stomatocytosis. We have used the shape transforming capacity of RBCs as a model to analyse the membrane interaction potential of various neurotropic drugs. Chlorpromazine  clomipramine  citalopram  clonazepam  and diazepam induced a reversible stomatocytosis  phenytoin induced echinocytosis  while the anticonvulsants levetiracetam  valproic acid and phenobarbital had no effect. This diversity of RBC shape transformations suggests that the pharmacological action is not linked to the membrane interaction. We conclude that this simple RBC shape transformation assay could be a useful tool to screen for potential drug interactions with cell membranes."
"13","24934243","Antidepressant and antipsychotic drugs differentially affect PON1 enzyme activity.","Human serum paraoxonase (PON1  EC 3.1.8.1.) is a high-density lipid (HDL)-associated  calcium-dependent enzyme. In this study  the effects of Haloperidol  Fluoxetine hydrochloride  Diazepam and Acepromazine drugs used for the therapy of antidepressant and antipsychotic diseases  on paraoxonase enzyme activity was studied in in vitro inhibition studies on purified human serum PON1. PON1 enzyme was purified from human blood using two-step procedures  namely  ammonium sulfate precipitation and sepharose-4B-l-tyrosine-1-napthylamine hydrophobic interaction chromatography. The overall purification of human serum PON1 was obtained in a activity of 109.29 U/mL and this enzyme was purified 125-fold. The SDS-polyacrylamide gel electrophoresis of the enzyme indicates a single band with an apparent MW of 43<U+2009>kDa. Inhibition studies indicated that haloperidol and fluoxetine hydrocloride were effective inhibitors on purified human serum PON1 activity with IC50 of 0.187 and 3.08<U+2009>mM values  respectively. The kinetics of interaction of haloperidol and fluoxetine hydrocloride with the purified human serum PON1 indicated uncompetitive inhibiton pattern with Ki of 4.15 and 0.007<U+2009>mM  respectively."
"14","24920136","Plurality of anxiety and depression alteration mechanism by oleanolic acid.","Our study sought to evaluate the anxiolytic and antidepressant activities of oleanolic acid as well as the neural mechanisms involved. Animal models such as barbiturate sleep-induction  light-dark box  elevated plus maze  forced swimming test  tail suspension test and open field test were conducted. Male Albino Swiss mice were treated orally with vehicle 10 mL/kg  fluoxetine 20 mg/kg  imipramine 15 mg/kg  diazepam 1 mg/kg or oleanolic acid 5-40 mg/kg. Pretreatment (intraperitoneal) of animals with pentylenetetrazole (PTZ) 20 mg/kg  1-(2-methoxyphenyl)-4-[4- (2-phthalimido) butyl]piperazine hydrobromide (NAN-190) 0.5 mg/kg  p-chlorophenylalanine methyl ester (PCPA) 100 mg/kg or a-methyl-p-tyrosine (AMPT) 100 mg/kg  WAY100635 (WAY) 0.3 mg/kg  prazosin (PRAZ) 1 mg/kg  yohimbine 2 mg/kg as well as monoamine oxidase assay and hippocampal brain-derived neurotrophic factor (BDNF) quantification were carried out. Oleanolic acid potentiated the hypnotic effect of barbiturate and demonstrated an anxiolytic effect in both the light-dark box and elevated plus maze. This effect was not reversed by PTZ. Acute and/or chronic oral treatment of mice with oleanolic acid (5-20 mg/kg) elicited an antidepressant effect in the forced swimming test and the tail suspension test without interfering with the locomotor activity. The antidepressant effect of oleanolic acid was attenuated by NAN-190  AMPT  PCPA  WAY and PRAZ. Although monoamine oxidase activity remained unaltered by oleanolic acid  chronic administration of oleanolic acid augmented hippocampal BDNF level. These findings demonstrate multiple mechanisms of the anxiolytic and antidepressant effect of oleanolic acid."
"15","24732412","Potential drug interactions with melatonin.","Possible interactions of melatonin with concurrently administered drugs were investigated in in vitro studies utilising human hepatic post-mitochondrial preparations; similar studies were conducted with rat preparations to ascertain whether rat is a suitable surrogate for human. Drugs were selected based not only on the knowledge that the 6-hydroxylation of exogenous melatonin  its principal pathway of metabolism  is mainly mediated by hepatic CYP1A2  but also on the likelihood of the drug being concurrently administered with melatonin. Hepatic preparations were incubated with either melatonin or 6-hydroxymelatonin in the presence and absence of a range of concentrations of interacting drug  and the production of 6-sulphatoxymelatonin monitored using a radioimmunoassay procedure. Of the drugs screened  only the potent CYP1A2 inhibitor 5-methoxypsoralen impaired the 6-melatonin hydroxylation at pharmacologically relevant concentrations  and is likely to lead to clinical interactions; diazepam  tamoxifen and acetaminophen (paracetamol) did not impair the metabolic conversion of melatonin to 6-sulphatoxymelatonin at concentrations attained following therapeutic administration. 17-Ethinhyloestradiol appeared not to suppress the 6-hydroxylation of melatonin but inhibited the sulphation of 6-hydroxymelatonin  but this is unlikely to result in an interaction following therapeutic intake of the steroid. Species differences in the inhibition of melatonin metabolism in human and rat hepatic post-mitochondrial preparations were evident implying that the rat may not be an appropriate surrogate of human in such studies."
"16","24500275","Urinary diazepam metabolite distribution in a chronic pain population.","Diazepam is often used as an adjuvant to pain therapy. Cytochrome P450 (CYP) 3A4 and 2C19 metabolize diazepam into the active metabolites: nordiazepam  temazepam and oxazepam. Owing to diazepam's side-effect profile  mortality risk and potential for drug-drug interactions with CYP 3A4 and/or CYP 2C19 inhibitors  urine drug testing (UDT) could be a helpful monitoring tool. This was a retrospective data analysis that evaluated urine specimens from pain management practices for the distribution of diazepam metabolites with and without CYP 3A4 and 2C19 inhibitors. Intersubject nordiazepam  temazepam and oxazepam geometric mean fractions were 0.16  0.34 and 0.47  respectively. Intrasubject geometric mean fractions were 0.157  0.311 and 0.494  respectively. Sex  but not age or urinary pH  had an effect on metabolite fractions. Methadone significantly increased temazepam and oxazepam urinary fractions via CYP3A4 inhibition  whereas fluoxetine and esomeprazole increased nordiazepam fractions via CYP2C19 inhibition. Although more studies are needed  these results suggest the viability of UDT for increased monitoring for therapy and possible drug-drug interactions."
"17","24291732","Chronic mild stress-induced changes of risk assessment behaviors in mice are prevented by chronic treatment with fluoxetine but not diazepam.","As an important part of risk-related defensive behavior and central element of anxiety  risk assessment in rodents is particularly sensitive to psychosocial stress and may consequently influence the following decision-making and behavioral output. In this study  using a mouse-test battery  we evaluated the possible impacts of chronic mild stress (CMS) on risk assessment behaviors and action selections. For non-stressed control animals  a close relationship between risk assessment and choice behavior was observed in EPM and LDT. For stressed animals  however  5 weeks of CMS exposure not only increased risk assessment behaviors  but also abolished the correlations between risk assessment and action selection. Pharmacological intervention with GABA-A receptor modulator diazepam (0.25-4 mg/kg) blocked the alterations of conventional spatiotemporal behaviors in response to CMS  but had no effect on the CMS-induced risk assessment behavioral changes. In contrast  4-weeks of chronic treatment with fluoxetine (4-20mg/kg)  a selective serotonin reuptake inhibitor  not only ameliorated the CMS-affected risk-assessment behaviors  but also restored the CMS-impaired correlations between risk assessment and decision making-related action selection. The present findings may shed new light on the better understanding of emotional reactivity and decision making under stressful situations. These results also indicate a differential pharmacological sensitivity in CMS-affected emotional response and risk-assessment behaviors."
"18","23982114","The organic cation transporter 3 (OCT3) as molecular target of psychotropic drugs: transport characteristics and acute regulation of cloned murine OCT3.","The organic cation transporter 3 (OCT3) is a widely expressed transporter for endogenous and exogenous organic cations. Of particular interest is OCT3 expression and function in the brain  where it plays a role in serotonin clearance and influences mood and behavior. Protein kinase signaling mediates rapid modulation of cerebral processes  but little is known about acute regulation of OCT3 by protein kinases. Therefore  we cloned mouse OCT3 (mOCT3) and generated a human embryonic kidney cell line stably expressing the transporter to study transport characteristics  acute regulation by protein kinases  and interaction with psychotropic drugs. Uptake measurement was performed using the fluorescent cation 4-(4-(dimethylamino)styryl)-N-methylpyridinium iodide (ASP(+)  1 µM) as a substrate. The translational value of these findings was determined by comparing results obtained with cloned mouse and human OCT3. mOCT3-mediated transport is membrane potential dependent and pH independent. ASP(+) uptake by mOCT3 and human OCT3 (hOCT3) was efficiently inhibited by 1-methyl-4-phenylpyridinium  tetrapentylammonium (TPA(+))  corticosterone  serotonin  and histamine and by the drugs ketamine  fluoxetine  and diazepam. The half maximal inhibitory concentrations of mOCT3 and hOCT3 for TPA(+)  serotonin  diazepam  and ketamine are significantly different. Diazepam is a non-transported inhibitor. Furthermore  the activities of mOCT3 and hOCT3 are acutely regulated by the p56 (lck) tyrosine kinase by decreasing their V max. Studies with freshly isolated renal proximal tubules from mOCT1/2(-/-) mice  in which mOCT3 is the only OCT present  confirmed this regulation pathway. Only the activity of hOCT3 is regulated by calmodulin. These findings suggest that even though many transport properties of mOCT3 and hOCT3 are similar  there are also species-specific aspects of OCT3 function."
"19","23973619","Comparative uptake and translocation of pharmaceutical and personal care products (PPCPs) by common vegetables.","Reuse of treated wastewater to irrigate agricultural crops is increasing in many arid and semi-arid areas around the world. The presence of numerous pharmaceutical and personal care products (PPCPs) in treated wastewater and their potential transfer into food produce such as vegetables poses an unknown human health risk. The goal of this study was to identify PPCPs that have a comparatively high potential for plant uptake and translocation. A total of 20 frequently-occurring PPCPs were compared for their accumulation into four staple vegetables (lettuce  spinach  cucumber  and pepper) grown in nutrient solutions containing PPCPs at 0.5 or 5µgL(-1). Triclocarban  fluoxetine  triclosan  and diazepam were found at high levels in roots  while meprobamate  primidone  carbamazepine  dilantin  and diuron exhibited more active translocation from roots to leaves. Root uptake of neutral PPCPs was positively correlated with the pH adjusted log Kow(i.e.  log Dow)  and was likely driven by chemical adsorption onto the root surfaces. In contrast  translocation from roots to leaves was negatively related to log Dow  suggesting hydrophilicity-regulated transport via xylems. Compounds preferentially sorbed to roots should be further evaluated for their uptake in tuber vegetables (e.g.  carrot  radish) under field conditions  while those easily translocated into leaves (e.g.  carbamazepine  dilantin) merit focused consideration for leafy and other vegetables (e.g.  lettuce  cucumber). However  estimation of dietary intake by humans suggested the implied risks from exposure to PPCPs via wastewater irrigation to be negligible."
"20","23639432","A benzodiazepine impairs the neurogenic and behavioural effects of fluoxetine in a rodent model of chronic stress.","Antidepressant agents such as fluoxetine have been shown to produce neurogenic effects involving transcriptional and translational changes that direct molecular and cellular plasticity. These cellular and molecular events appear necessary to mediate the therapeutic effects of fluoxetine and may be generated through the ability for fluoxetine to regulate BDNF levels. Clinically  benzodiazepines are frequently used in combination with standard antidepressants both for initial treatment and maintenance therapy  especially when comorbid anxiety is present. However  very little is known regarding the consequence of combined treatment of benzodiazepines and antidepressant on the development of clinical effect. The current study therefore examined the effect of co-administration of fluoxetine and the benzodiazepine  diazepam  on hippocampal neurogenesis in the social isolation rodent model of chronic stress. We demonstrate that 9 weeks of social isolation induces a deficit in motivational behaviour with increased anxiety as well as impairment in hippocampal neurogenesis. This was parallelled by reduced BDNF levels in the hippocampus. While treatment with fluoxetine alone for 3 weeks restored anxiety behaviour as well as progenitor cell proliferation and the generation of new hippocampal neurons  this effect was prevented by co-administration with diazepam. This suggests that co-administering benzodiazepines with antidepressants could significantly delay or prevent the cellular and behavioural improvement needed by patients. These findings indicate the need for future clinical studies designed to investigate the combined effects of benzodiazepines and antidepressants in patients."
"21","23470900","Ethopharmacological analysis of the open elevated plus-maze in mice.","Exposure of rodents to an open elevated plus-maze (oEPM) elicits antinociception and increases plasma corticosterone levels. However  no studies have yet assessed the defensive behaviour repertoire of animals in this modified test. In Experiment 1  factor analysis was employed to characterise the behavioural profile of mice exposed to the oEPM. Experiments 2 and 3 assessed the effects of acute alprazolam (0.5-1.5mg/kg; diazepam 0.5-1.5mg/kg)  pentylenetetrazole (10.0-30.0mg/kg)  yohimbine (2.0-6.0mg/kg)  mCPP (0.3-3.0mg/kg)  and acute and chronic fluoxetine (10.0-30.0mg/kg) and imipramine (1.0-15.0mg/kg) on behaviours identified in Experiment 1. The factor analyses revealed that behaviour in the oEPM can largely (77% total variance) be accounted for in terms of 3 factors: factor 1 ('depth exploration'; e.g. head-dipping on the arms)  factor 2 ('cautious exploration of arms'; e.g. flatback approach)  and factor 3 ('risk assessment'; stretched attend postures - SAP). Experiments 2 and 3 showed that  over the dose range used  alprazolam selectively attenuated all measures of defensiveness. Similar  though more modest  effects were seen with diazepam. Confirming the intensity of the emotional response to the oEPM (nociceptive  endocrine and behavioural)  relatively few significant behavioural changes were seen in response to the anxiogenic compounds tested. Although acute fluoxetine or imipramine treatment failed to modify behaviour in the oEPM  chronic fluoxetine (but not chronic imipramine) attenuated total flat back approach and increased head dipping outside the central square. Together  the results indicate that the oEPM induces behavioural defensive responses that are sensitive to alprazolam and chronic fluoxetine."
